ensembl,symbol
ENSG00000110484,SCGB2A2
ENSG00000234648,ENSG00000234648
ENSG00000142515,KLK3
ENSG00000129824,RPS4Y1
ENSG00000281415,ENSG00000281415
ENSG00000281204,ENSG00000281204
ENSG00000167751,KLK2
ENSG00000159182,PRAC1
ENSG00000263639,MSMB
ENSG00000206585,RNVU1-7
ENSG00000149021,SCGB1A1
ENSG00000230043,TMSB4XP6
ENSG00000168484,SFTPC
ENSG00000235687,LINC00993
ENSG00000122585,NPY
ENSG00000200795,RNU4-1
ENSG00000277194,SNORD22
ENSG00000281052,ENSG00000281052
ENSG00000168878,SFTPB
ENSG00000122852,SFTPA1
ENSG00000198692,EIF1AY
ENSG00000200320,SNORA63
ENSG00000269968,ENSG00000269968
ENSG00000164265,SCGB3A2
ENSG00000279009,ENSG00000279009
ENSG00000238622,SNORD97
ENSG00000124935,SCGB1D2
ENSG00000279322,ENSG00000279322
ENSG00000131002,TXLNGY
ENSG00000275559,ENSG00000275559
ENSG00000207165,SNORA70
ENSG00000280827,ENSG00000280827
ENSG00000187653,TMSB4XP8
ENSG00000163586,FABP1
ENSG00000207445,SNORD15B
ENSG00000248126,ENSG00000248126
ENSG00000280843,ENSG00000280843
ENSG00000238917,SNORD10
ENSG00000115386,REG1A
ENSG00000067048,DDX3Y
ENSG00000280653,ENSG00000280653
ENSG00000260335,ENSG00000260335
ENSG00000233041,PHGR1
ENSG00000159763,PIP
ENSG00000208772,SNORD94
ENSG00000242534,IGKV2D-28
ENSG00000244468,TM4SF18-AS1
ENSG00000277887,SNORA50C
ENSG00000281272,ENSG00000281272
ENSG00000229415,SFTA3
ENSG00000229807,XIST
ENSG00000012817,KDM5D
ENSG00000196260,SFTA2
ENSG00000269900,ENSG00000269900
ENSG00000160182,TFF1
ENSG00000114374,USP9Y
ENSG00000276185,ENSG00000276185
ENSG00000206597,SNORA57
ENSG00000278868,ENSG00000278868
ENSG00000199477,SNORA31
ENSG00000159184,HOXB13
ENSG00000281457,ENSG00000281457
ENSG00000204379,XAGE1A
ENSG00000234918,ENSG00000234918
ENSG00000105388,CEACAM5
ENSG00000172551,MUCL1
ENSG00000209582,SNORA48
ENSG00000228262,LINC01317
ENSG00000207145,SNORA18
ENSG00000207067,SNORA72
ENSG00000166589,CDH16
ENSG00000261385,ENSG00000261385
ENSG00000135220,UGT2A3
ENSG00000178372,CALML5
ENSG00000142484,TM4SF5
ENSG00000233078,ENSG00000233078
ENSG00000204382,XAGE1B
ENSG00000171557,FGG
ENSG00000136352,NKX2-1
ENSG00000211935,IGHV1-3
ENSG00000274630,ENSG00000274630
ENSG00000264248,ENSG00000264248
ENSG00000249971,ENSG00000249971
ENSG00000282031,ENSG00000282031
ENSG00000280566,ENSG00000280566
ENSG00000242371,IGKV1-39
ENSG00000137251,TINAG
ENSG00000268083,ENSG00000268083
ENSG00000277694,ENSG00000277694
ENSG00000149124,GLYAT
ENSG00000241119,UGT1A9
ENSG00000263585,PYCR1-AS1
ENSG00000100557,CCDC198
ENSG00000256007,ARAP1-AS1
ENSG00000240800,ENSG00000240800
ENSG00000086548,CEACAM6
ENSG00000278274,SNORA61
ENSG00000229637,PRAC2
ENSG00000101076,HNF4A
ENSG00000188373,GPR15LG
ENSG00000282122,IGHV7-4-1
ENSG00000262413,ENSG00000262413
ENSG00000242899,RPL7P16
ENSG00000066813,ACSM2B
ENSG00000122711,SPINK4
ENSG00000233639,PANTR1
ENSG00000183747,ACSM2A
ENSG00000241434,ENSG00000241434
ENSG00000259607,ENSG00000259607
ENSG00000124564,SLC17A3
ENSG00000280510,ENSG00000280510
ENSG00000280966,ENSG00000280966
ENSG00000148513,ANKRD30A
ENSG00000176728,TTTY14
ENSG00000181092,ADIPOQ
ENSG00000266341,ENSG00000266341
ENSG00000227869,ENSG00000227869
ENSG00000185303,SFTPA2
ENSG00000267458,ENSG00000267458
ENSG00000143556,S100A7
ENSG00000230937,MIR205HG
ENSG00000275410,HNF1B
ENSG00000262967,ENSG00000262967
ENSG00000207496,SNORA7A
ENSG00000235584,ENSG00000235584
ENSG00000167749,KLK4
ENSG00000264148,ENSG00000264148
ENSG00000202538,RNU4-2
ENSG00000187733,AMY1C
ENSG00000207110,RNVU1-32
ENSG00000241069,ENSG00000241069
ENSG00000204832,ST8SIA6-AS1
ENSG00000101951,PAGE4
ENSG00000257386,ENSG00000257386
ENSG00000274210,RNVU1-27
ENSG00000164434,FABP7
ENSG00000167757,KLK11
ENSG00000230953,ENSG00000230953
ENSG00000096088,PGC
ENSG00000235123,DSCAM-AS1
ENSG00000167165,UGT1A6
ENSG00000169347,GP2
ENSG00000258314,ENSG00000258314
ENSG00000282651,IGHV5-10-1
ENSG00000166509,CLEC3A
ENSG00000233864,ENSG00000233864
ENSG00000269926,ENSG00000269926
ENSG00000206838,SNORA5A
ENSG00000278020,ENSG00000278020
ENSG00000267436,MFSD12-AS1
ENSG00000183878,UTY
ENSG00000258757,ENSG00000258757
ENSG00000273623,ENSG00000273623
ENSG00000181617,FDCSP
ENSG00000230777,RPS29P5
ENSG00000241388,HNF1A-AS1
ENSG00000227329,ENSG00000227329
ENSG00000198183,BPIFA1
ENSG00000144339,TMEFF2
ENSG00000249599,BMPR1B-DT
ENSG00000008196,TFAP2B
ENSG00000282682,ENSG00000282682
ENSG00000171564,FGB
ENSG00000171560,FGA
ENSG00000250535,WHR1B
ENSG00000237643,LINC01610
ENSG00000276150,ENSG00000276150
ENSG00000112499,SLC22A2
ENSG00000237949,LOC102724768
ENSG00000165556,CDX2
ENSG00000171234,UGT2B7
ENSG00000165828,PRAP1
ENSG00000274177,ENSG00000274177
ENSG00000173467,AGR3
